station_id,station_name,station_lat,station_long,total_rides
72,W 52 St & 11 Ave,40.76727216,-73.99392888,24178
79,Franklin St & W Broadway,40.71911552,-74.00666661,19960
82,St James Pl & Pearl St,40.71117416,-74.00016545,9479
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,10667
116,W 17 St & 8 Ave,40.74177603,-74.00149746,39435
119,Park Ave & St Edwards St,40.69608941,-73.97803415,1794
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,4667
127,Barrow St & Hudson St,40.73172428,-74.00674436,51387
128,MacDougal St & Prince St,40.72710258,-74.00297088,38854
143,Clinton St & Joralemon St,40.69239502,-73.99337909,9673
144,Nassau St & Navy St,40.69839895,-73.98068914,4674
146,Hudson St & Reade St,40.71625008,-74.0091059,20053
150,E 2 St & Avenue C,40.7208736,-73.98085795,17927
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,47025
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,17463
152,Warren St & Church St,40.71473993,-74.00910627,17403
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,16388
153,E 40 St & 5 Ave,40.75206231,-73.9816324,8413
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,11495
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,38844
164,E 47 St & 2 Ave,40.75323098,-73.97032517,21085
167,E 39 St & 3 Ave,40.7489006,-73.97604882,30213
168,W 18 St & 6 Ave,40.73971301,-73.99456405,46904
173,Broadway & W 49 St,40.76064679,-73.98442659,33681
174,E 25 St & 1 Ave,40.7381765,-73.97738662,26475
195,Liberty St & Broadway,40.70905623,-74.01043382,25697
212,W 16 St & The High Line,40.74334935,-74.00681753,23037
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,6040
217,Old Fulton St,40.70277159,-73.99383605,18771
223,W 13 St & 7 Ave,40.73781509,-73.99994661,31079
224,Spruce St & Nassau St,40.71146364,-74.00552427,17590
228,E 48 St & 3 Ave,40.7546011,-73.97187886,4046
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,16820
229,Great Jones St,40.72743423,-73.99379025,29987
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,8460
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,39672
237,E 11 St & 2 Ave,40.73047309,-73.98672378,39220
238,Bank St & Washington St,40.7361967,-74.00859207,21763
239,Willoughby St & Fleet St,40.69196566,-73.9813018,9245
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,7440
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,3928
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,2325
243,Fulton St & Rockwell Pl,40.688226,-73.979382,6955
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,7064
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,4073
247,Perry St & Bleecker St,40.73535398,-74.00483091,21200
248,Laight St & Hudson St,40.72185379,-74.00771779,7825
249,Harrison St & Hudson St,40.71870987,-74.0090009,14104
251,Mott St & Prince St,40.72317958,-73.99480012,35542
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,27574
253,W 13 St & 5 Ave,40.73543934,-73.99453948,24448
254,W 11 St & 6 Ave,40.73532427,-73.99800419,18802
257,Lispenard St & Broadway,40.71939226,-74.00247214,23572
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,8517
259,South St & Whitehall St,40.70122128,-74.01234218,19777
260,Broad St & Bridge St,40.70365182,-74.01167797,10941
261,Johnson St & Gold St,40.69474881,-73.98362464,9740
262,Washington Park,40.6917823,-73.9737299,6245
262,Washington Park,40.69178232,-73.97372989,588
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,17518
265,Stanton St & Chrystie St,40.72229346,-73.99147535,27273
266,Avenue D & E 8 St,40.72368361,-73.97574813,9638
267,Broadway & W 36 St,40.75097711,-73.98765428,18801
268,Howard St & Centre St,40.71910537,-73.99973337,26927
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,11184
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,7853
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,4874
276,Duane St & Greenwich St,40.71748752,-74.0104554,16365
278,Concord St & Bridge St,40.69766564,-73.98476437,4816
279,Peck Slip & Front St,40.707873,-74.00167,25290
280,E 10 St & 5 Ave,40.73331967,-73.99510132,27185
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,47961
282,Kent Ave & S 11 St,40.70827295,-73.96834101,8437
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,11820
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,49249
285,Broadway & E 14 St,40.73454567,-73.99074142,66959
289,Monroe St & Classon Ave,40.6845683,-73.95881081,2616
291,Madison St & Montgomery St,40.713126,-73.984844,11146
293,Lafayette St & E 8 St,40.73028666,-73.9907647,88558
295,Pike St & E Broadway,40.71406667,-73.99293911,19825
296,Division St & Bowery,40.71413089,-73.9970468,20542
297,E 15 St & 3 Ave,40.734232,-73.986923,37981
301,E 2 St & Avenue B,40.72217444,-73.98368779,32216
302,Avenue D & E 3 St,40.72082834,-73.97793172,13608
303,Mercer St & Spring St,40.72362738,-73.99949601,23977
304,Broadway & Battery Pl,40.70463334,-74.01361706,25982
305,E 58 St & 3 Ave,40.76095756,-73.96724467,32416
306,Cliff St & Fulton St,40.70823502,-74.00530063,19933
307,Canal St & Rutgers St,40.71427487,-73.98990025,32755
308,St James Pl & Oliver St,40.71307916,-73.99851193,15772
309,Murray St & West St,40.7149787,-74.013012,18447
310,State St & Smith St,40.68926942,-73.98912867,14311
311,Norfolk St & Broome St,40.7172274,-73.98802084,20424
312,Allen St & E Houston St,40.722055,-73.989111,35414
